"","Condition","List","GenderRating","Name","Prompt","Male","Female","Other","Likeable","Accomplished","Important","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"45","first","1B",5.86,"Elisha Collins","book",1,0,0,4,5,4,"R_1hZ55TWB1yKyH8l","male","18 - 24","White","4 year degree"
"46","first","1B",3.75,"Quinn Young","album",0,1,0,4,6,6,"R_1hZ55TWB1yKyH8l","male","18 - 24","White","4 year degree"
"47","first","1B",6.78,"Rebecca Bell","animals",0,1,0,6,5,5,"R_1hZ55TWB1yKyH8l","male","18 - 24","White","4 year degree"
"48","first","1B",4.34,"Riley Hill","meals",1,0,0,6,5,6,"R_1hZ55TWB1yKyH8l","male","18 - 24","White","4 year degree"
"49","first","1B",2.41,"Tommie Brown","science",1,0,0,4,6,6,"R_1hZ55TWB1yKyH8l","male","18 - 24","White","4 year degree"
"50","first","3C",6.24,"Ashley Green","album",0,1,0,2,1,2,"R_tFIBWHcO29xM9X3","female","18 - 24","White","Some college"
"51","first","3C",2.61,"Emerson Baker","animals",1,0,0,1,1,2,"R_tFIBWHcO29xM9X3","female","18 - 24","White","Some college"
"52","first","3C",6.82,"Emily Brooks","politics",0,1,0,1,1,2,"R_tFIBWHcO29xM9X3","female","18 - 24","White","Some college"
"53","first","3C",5.34,"Jackie Walker","book",0,1,0,1,1,3,"R_tFIBWHcO29xM9X3","female","18 - 24","White","Some college"
"54","first","3C",1.28,"James White","sports",1,0,0,1,3,2,"R_tFIBWHcO29xM9X3","female","18 - 24","White","Some college"
"55","first","3C",4.39,"Jessie Turner","science",0,1,0,2,1,2,"R_tFIBWHcO29xM9X3","female","18 - 24","White","Some college"
"56","first","3C",3.87,"Reese Campbell","meals",1,0,0,1,1,3,"R_tFIBWHcO29xM9X3","female","18 - 24","White","Some college"
"57","first","3B",5.22,"Blair Hill","book",0,1,0,4,3,4,"R_2WwlU8VlgSp3BwX",NA,"25 - 34","White","Some college"
"58","first","3B",1.24,"Brian King","animals",1,0,0,2,3,4,"R_2WwlU8VlgSp3BwX",NA,"25 - 34","White","Some college"
"59","first","3B",5.86,"Elisha Moore","politics",0,1,0,4,4,4,"R_2WwlU8VlgSp3BwX",NA,"25 - 34","White","Some college"
"60","first","3B",3.75,"Quinn Parker","sports",1,0,0,3,3,3,"R_2WwlU8VlgSp3BwX",NA,"25 - 34","White","Some college"
"61","first","3B",6.78,"Rebecca Wright","meals",0,1,0,2,3,4,"R_2WwlU8VlgSp3BwX",NA,"25 - 34","White","Some college"
"62","first","3B",4.34,"Riley Cook","science",0,1,0,3,3,3,"R_2WwlU8VlgSp3BwX",NA,"25 - 34","White","Some college"
"63","first","3B",2.41,"Tommie Smith","album",1,0,0,4,2,3,"R_2WwlU8VlgSp3BwX",NA,"25 - 34","White","Some college"
"64","first","1C",6.24,"Ashley Cook","book",0,1,0,3,3,3,"R_3EtMh0fr6QzSU20","male","35 - 44","White","Doctorate"
"65","first","1C",2.61,"Emerson Moore","meals",1,0,0,2,3,2,"R_3EtMh0fr6QzSU20","male","35 - 44","White","Doctorate"
"66","first","1C",6.82,"Emily Ward","album",1,0,0,4,3,3,"R_3EtMh0fr6QzSU20","male","35 - 44","White","Doctorate"
"67","first","1C",5.34,"Jackie Turner","animals",0,1,0,2,3,3,"R_3EtMh0fr6QzSU20","male","35 - 44","White","Doctorate"
"68","first","1C",1.28,"James Green","science",1,0,0,4,2,2,"R_3EtMh0fr6QzSU20","male","35 - 44","White","Doctorate"
"69","first","1C",4.39,"Jessie Brooks","sports",1,0,0,4,3,5,"R_3EtMh0fr6QzSU20","male","35 - 44","White","Doctorate"
"70","first","1C",3.87,"Reese King","politics",1,0,0,4,4,5,"R_3EtMh0fr6QzSU20","male","35 - 44","White","Doctorate"
"71","first","2C",6.24,"Ashley Walker","science",0,1,0,3,2,4,"R_2sZ9qzVOWp4BRAm","female","25 - 34","Other","4 year degree"
"72","first","2C",2.61,"Emerson Green","sports",1,0,0,3,2,4,"R_2sZ9qzVOWp4BRAm","female","25 - 34","Other","4 year degree"
"73","first","2C",6.82,"Emily Baker","animals",0,1,0,1,3,4,"R_2sZ9qzVOWp4BRAm","female","25 - 34","Other","4 year degree"
"74","first","2C",5.34,"Jackie White","meals",0,1,0,2,3,4,"R_2sZ9qzVOWp4BRAm","female","25 - 34","Other","4 year degree"
"75","first","2C",1.28,"James Miller","politics",1,0,0,3,2,4,"R_2sZ9qzVOWp4BRAm","female","25 - 34","Other","4 year degree"
"76","first","2C",4.39,"Jessie Cook","book",1,0,0,3,2,4,"R_2sZ9qzVOWp4BRAm","female","25 - 34","Other","4 year degree"
"77","first","2C",3.87,"Reese Parker","album",1,0,0,3,2,4,"R_2sZ9qzVOWp4BRAm","female","25 - 34","Other","4 year degree"
"78","first","1C",6.24,"Ashley Cook","book",0,1,0,2,2,2,"R_3Jl7i8ISwNUMqrm","female","25 - 34","White","4 year degree"
"79","first","1C",2.61,"Emerson Moore","meals",1,0,0,3,2,2,"R_3Jl7i8ISwNUMqrm","female","25 - 34","White","4 year degree"
