"","Condition","List","GenderRating","NameShown","NameFirst","NameLast","He","She","Other","OtherType","Response","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"42","first",3,6.82,"Emily","Emily",NA,0,1,0,"","she went to the bathroom","R_3NvReycq3V3cyYX","male","35 - 44","White","4 year degree"
"43","first",2,1.21,"Matthew","Matthew",NA,1,0,0,"","he threw it on the couch.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"44","first",2,1.24,"Brian","Brian",NA,1,0,0,"","he picked up the cat lovingly. ","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"45","first",2,1.28,"James","James",NA,1,0,0,"","he realized he was in trouble.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"46","first",2,2.12,"Chris","Chris",NA,1,0,0,"","he bought a soda.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"47","first",2,2.41,"Tommie","Tommie",NA,1,0,0,"","he fell asleep on the couch.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"48","first",2,2.61,"Emerson","Emerson",NA,1,0,0,"","he sat down to watch the news.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"49","first",2,3.61,"Stevie","Stevie",NA,1,0,0,"","he turned on the oven","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"50","first",2,3.75,"Quinn","Quinn",NA,1,0,0,"","he mingled among the other guests.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"51","first",2,3.87,"Reese","Reese",NA,1,0,0,"","he had finished the glass.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"52","first",2,4.22,"Taylor","Taylor",NA,1,0,0,"","he mocked the batter.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"53","first",2,4.34,"Riley","Riley",NA,1,0,0,"","he took a quick shower.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"54","first",2,4.39,"Jessie","Jessie",NA,0,0,1,"other subject","it felt like the drive had really started.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"55","first",2,4.73,"Kerry","Kerry",NA,0,0,1,"other subject","the jacket became a burden.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"56","first",2,5.22,"Blair","Blair",NA,1,0,0,"","he began to make his dinner.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"57","first",2,5.34,"Jackie","Jackie",NA,0,1,0,"","She took lessons from an instructor.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"58","first",2,5.59,"Jodie","Jodie",NA,0,1,0,"","She laid out to get some sun.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"59","first",2,5.86,"Elisha","Elisha",NA,0,1,0,"","she checked for errors one last time.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"60","first",2,6.24,"Ashley","Ashley",NA,0,1,0,"","she then called her mother.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"61","first",2,6.73,"Mary","Mary",NA,0,1,0,"","she realized her phone was still at home.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"62","first",2,6.78,"Rebecca","Rebecca",NA,0,1,0,"","she fell asleep on the couch.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"63","first",2,6.82,"Emily","Emily",NA,0,1,0,"","a car slammed into her.","R_2YL08DEwCnKZu3y","male","35 - 44","White","4 year degree"
"64","first",3,1.21,"Matthew","Matthew",NA,1,0,0,"","he relaxed and played some video games.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"65","first",3,1.24,"Brian","Brian",NA,1,0,0,"","he used the restroom.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"66","first",3,1.28,"James","James",NA,1,0,0,"","he spat on it for luck.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"67","first",3,2.12,"Chris","Chris",NA,1,0,0,"","he walked away and then promptly walked back and checked that he had indeed locked it.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"68","first",3,2.41,"Tommie","Tommie",NA,1,0,0,"","he sighed in relief that he didn't have to talk to a real person.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"69","first",3,2.61,"Emerson","Emerson",NA,1,0,0,"","he laid awake for four hours thinking about his impending mortality.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"70","first",3,3.61,"Stevie","Stevie",NA,1,0,0,"","he gave himself a figurative pat on the back.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"71","first",3,3.75,"Quinn","Quinn",NA,1,0,0,"","he realised he wasn't hungry after all.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"72","first",3,3.87,"Reese","Reese",NA,1,0,0,"","he washed his hands.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"73","first",3,4.22,"Taylor","Taylor",NA,1,0,0,"","he added three heaping tablespoons of sugar.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"74","first",3,4.34,"Riley","Riley",NA,1,0,0,"","he drank it.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"75","first",3,4.39,"Jessie","Jessie",NA,1,0,0,"","he put his reusable bags back in his car.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
